Unweighted:

                                          component depth                  class                                                    name pass total
 SMS-T1qqqqLL_ctau_0p001_mGluino-1000_mLSP-900_25ns     1 EventSelectionAllCount                                                     All 4335  9072
 SMS-T1qqqqLL_ctau_0p001_mGluino-1000_mLSP-900_25ns     2 EventSelectionAnyCount                                                     Any 4335  9072
 SMS-T1qqqqLL_ctau_0p001_mGluino-1000_mLSP-900_25ns     3              LambdaStr                           "ev : ev.HLT_PFHT900[0] == 1"  515  9072
 SMS-T1qqqqLL_ctau_0p001_mGluino-1000_mLSP-900_25ns     3              LambdaStr "ev : ev.HLT_PFMETNoMu120_PFMHTNoMu120_IDTight[0] == 1" 3820  8557
 
Weighted:

                                          component depth                  class                                                    name          pass         total
 SMS-T1qqqqLL_ctau_0p001_mGluino-1000_mLSP-900_25ns     1 EventSelectionAllCount                                                     All 3881.44960495  8910.6454693
 SMS-T1qqqqLL_ctau_0p001_mGluino-1000_mLSP-900_25ns     2 EventSelectionAnyCount                                                     Any 3881.44960495  8910.6454693
 SMS-T1qqqqLL_ctau_0p001_mGluino-1000_mLSP-900_25ns     3              LambdaStr                           "ev : ev.HLT_PFHT900[0] == 1" 438.119109588  8910.6454693
 SMS-T1qqqqLL_ctau_0p001_mGluino-1000_mLSP-900_25ns     3              LambdaStr "ev : ev.HLT_PFMETNoMu120_PFMHTNoMu120_IDTight[0] == 1" 3443.33049536 8472.52635971
 
Full unweighted:

                                          component depth                  class                                                    name pass total
 SMS-T1qqqqLL_ctau_0p001_mGluino-1000_mLSP-900_25ns     1 EventSelectionAllCount                                                     All  783  9072
 SMS-T1qqqqLL_ctau_0p001_mGluino-1000_mLSP-900_25ns     2 EventSelectionAllCount                                                     All 9033  9072
 SMS-T1qqqqLL_ctau_0p001_mGluino-1000_mLSP-900_25ns     3              LambdaStr                        "ev : ev.nElectronsVeto[0] == 0" 9053  9072
 SMS-T1qqqqLL_ctau_0p001_mGluino-1000_mLSP-900_25ns     3              LambdaStr                            "ev : ev.nMuonsVeto[0] == 0" 9033  9053
 SMS-T1qqqqLL_ctau_0p001_mGluino-1000_mLSP-900_25ns     2              LambdaStr                        "ev : ev.nIsoTracksVeto[0] <= 0" 8040  9033
 SMS-T1qqqqLL_ctau_0p001_mGluino-1000_mLSP-900_25ns     2              LambdaStr                          "ev : ev.nPhotonsVeto[0] == 0" 8004  8040
 SMS-T1qqqqLL_ctau_0p001_mGluino-1000_mLSP-900_25ns     2              LambdaStr                                "ev : ev.nJet40[0] >= 2" 6994  8004
 SMS-T1qqqqLL_ctau_0p001_mGluino-1000_mLSP-900_25ns     2              LambdaStr                               "ev : ev.jet_pt[0] > 100" 4523  6994
 SMS-T1qqqqLL_ctau_0p001_mGluino-1000_mLSP-900_25ns     2              LambdaStr                                 "ev : ev.ht40[0] > 200" 4143  4523
 SMS-T1qqqqLL_ctau_0p001_mGluino-1000_mLSP-900_25ns     2              LambdaStr                             "ev : ev.mht40_pt[0] > 200" 2130  4143
 SMS-T1qqqqLL_ctau_0p001_mGluino-1000_mLSP-900_25ns     2              LambdaStr                             "ev : ev.nJet40Fwd[0] == 0" 1956  2130
