                                           component depth                  class                                                    name          pass         total
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     1 EventSelectionAllCount                                                     All  926.99099917 11345.1704371
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2 EventSelectionAllCount                                                     All  11313.937823 11345.1704371
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     3              LambdaStr                        "ev : ev.nElectronsVeto[0] == 0" 11331.7967715 11345.1704371
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     3              LambdaStr                            "ev : ev.nMuonsVeto[0] == 0"  11313.937823 11331.7967715
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2              LambdaStr                        "ev : ev.nIsoTracksVeto[0] <= 0"  11019.176042  11313.937823
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2              LambdaStr                          "ev : ev.nPhotonsVeto[0] == 0" 10982.3880507  11019.176042
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2              LambdaStr                              "ev : ev.jetNewID[0] != 0" 10740.4588373 10982.3880507
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2              LambdaStr                                "ev : ev.nJet40[0] >= 2" 3925.79890663 10740.4588373
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2              LambdaStr                     "ev : 0.1 < ev.jet_chHEF[0] < 0.95" 3276.54296367 3925.79890663
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2              LambdaStr                               "ev : ev.jet_pt[0] > 100" 2598.93228706 3276.54296367
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2              LambdaStr                                 "ev : ev.ht40[0] > 200" 2353.50413058 2598.93228706
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2              LambdaStr                             "ev : ev.mht40_pt[0] > 200" 1813.53050833 2353.50413058
