# run       lumi           evt
251244        114      61009256
251244        125      67498549
251244        215     123891012
251244        221     128186295
251244        229     132996093
251244        263     154852468
251244        362     216905001
251244        376     225753072
251244        416     251133312
251251         50      30706498
251251         71      43529915
251252         34      20701000
251252         35      21497309
251252         69      41892151
251252        107      65084010
251252        136      82324239
251252        202     122270119
251252        296     178709335
251252        472     285883761
251252        543     327551886
