Unweighted:

                                           component depth                  class                                                    name pass total
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     1 EventSelectionAllCount                                                     All 5064 12127
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2 EventSelectionAnyCount                                                     Any 5064 12127
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     3              LambdaStr                           "ev : ev.HLT_PFHT900[0] == 1"  543 12127
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     3              LambdaStr "ev : ev.HLT_PFMETNoMu120_PFMHTNoMu120_IDTight[0] == 1" 4521 11584
 
Weighted:

                                           component depth                  class                                                    name          pass         total
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     1 EventSelectionAllCount                                                     All 4511.75723756 11939.2971012
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2 EventSelectionAnyCount                                                     Any 4511.75723756 11939.2971012
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     3              LambdaStr                           "ev : ev.HLT_PFHT900[0] == 1" 462.867817233 11939.2971012
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     3              LambdaStr "ev : ev.HLT_PFMETNoMu120_PFMHTNoMu120_IDTight[0] == 1" 4048.88942033  11476.429284
 
Full unweighted:

                                           component depth                  class                                                    name  pass total
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     1 EventSelectionAllCount                                                     All  1313 12127
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2 EventSelectionAllCount                                                     All 12090 12127
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     3              LambdaStr                        "ev : ev.nElectronsVeto[0] == 0" 12111 12127
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     3              LambdaStr                            "ev : ev.nMuonsVeto[0] == 0" 12090 12111
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2              LambdaStr                        "ev : ev.nIsoTracksVeto[0] <= 0" 11753 12090
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2              LambdaStr                          "ev : ev.nPhotonsVeto[0] == 0" 11718 11753
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2              LambdaStr                                "ev : ev.nJet40[0] >= 2"  5002 11718
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2              LambdaStr                               "ev : ev.jet_pt[0] > 100"  4081  5002
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2              LambdaStr                                 "ev : ev.ht40[0] > 200"  3741  4081
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2              LambdaStr                             "ev : ev.mht40_pt[0] > 200"  2735  3741
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2              LambdaStr                             "ev : ev.nJet40Fwd[0] == 0"  2504  2735
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2              LambdaStr                          "ev : ev.MhtOverMet[0] < 1.25"  2427  2504
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     2 EventSelectionAnyCount                                                     Any  1650  2427
 SMS-T1qqqqLL_ctau_100000_mGluino-1000_mLSP-200_25ns     3 EventSelectionAllCount                                                     All   121  2427
